FREQ,FREQ_LABEL,REF_AREA,Country,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,PERIOD,PERIOD_LABEL,WELFARE_TYPE,WELFARE_TYPE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,ALB,Albania,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_1,Period: 2008-2012,WB_PIP_C,Welfare type: Consumption,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,8.4002,,,,8.240385,,,,,,,,,,
A,Annual,ALB,Albania,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_2,Period: 2014-2017,WB_PIP_C,Welfare type: Consumption,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,8.295375,,,10.18767,,,,,
A,Annual,ARE,United Arab Emirates,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_3,Period: 2013-2018,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,65.14401583122728,,,,,72.12141495338871,,,,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_10,Period: 2016-2020,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,21.24394,,,,17.23369,,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_11,Period: 2016-2021,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,21.24394,,,,,18.4402,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_3,Period: 2013-2018,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,22.23756,,,,,20.57306,,,,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_4,Period: 2006-2011,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,17.06818,,,,,21.54129,,,,,,,,,,,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_5,Period: 2007-2012,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,17.63164,,,,,21.86821,,,,,,,,,,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_6,Period: 2009-2014,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,19.67503,,,,,20.30464,,,,,,,,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_7,Period: 2011-2016,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,,,21.54129,,,,,21.24394,,,,,,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_8,Period: 2012-2017,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,,,,21.86821,,,,,22.57342,,,,,
A,Annual,ARG,Argentina,WB_SHP_MEDIAN,Median consumption or income per capita of all population (2017 PPP $ per day),USD,US dollars,WB_SHP_PERIOD_9,Period: 2014-2019,WB_PIP_I,Welfare type: Income,WB_SHP,Global Database Of Shared Prosperity,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,20.30464,,,,,19.47542,,,
